Year,fossil_emissions_excluding_carbonation,land-use_change_emissions,atmospheric_growth,ocean_sink,land_sink,cement_carbonation_sink,budget_imbalance
1750,0.00253983,,,,0.062352581,,
1751,0.002567475,,-0.07434,,-0.41839894,,
1752,0.002594205,,-0.0707292,,-0.274563031,,
1753,0.00262295,,-0.0677556,,-0.17896831,,
1754,0.002656545,,-0.0641448,,-0.067778282,,
1755,0.00267289,,-0.05841,,-0.03785081,,
1756,0.002704671,,-0.0503388,,0.436237802,,
1757,0.002754895,,-0.0405684,,0.629884515,,
1758,0.002788307,,-0.0282492,,0.100096434,,
1759,0.00282174,,-0.0144432,,-0.53027817,,
1760,0.002869632,,0.0019116,,-0.025867218,,
1761,0.002933375,,0.020178,,-0.732103372,,
1762,0.002989137,,0.0405684,,-0.578992597,,
1763,0.003054474,,0.0628704,,0.443684818,,
1764,0.00311053,,0.0875088,,0.292558234,,
1765,0.003177807,,0.112572,,-0.276541822,,
1766,0.003241288,,0.1357236,,0.308144826,,
1767,0.003316733,,0.156114,,0.314763014,,
1768,0.003402548,,0.1748052,,0.377013174,,
1769,0.003488011,,0.19116,,-0.0130615,,
1770,0.003574568,,0.204966,,0.099768021,,
1771,0.003648878,,0.216648,,-0.322946597,,
1772,0.003718206,,0.2264184,,-0.121361844,,
1773,0.003768597,,0.23364,,-0.111397422,,
1774,0.003824349,,0.2387376,,0.170308119,,
1775,0.003913461,,0.2429856,,0.017587415,,
1776,0.003999488,,0.2489328,,0.450914811,,
1777,0.004082843,,0.257004,,0.787292541,,
1778,0.004160339,,0.266562,,0.209203139,,
1779,0.004239966,,0.278244,,-0.247731667,,
1780,0.004333713,,0.29205,,0.33676919,,
1781,0.004430781,,0.315414,0.07433,-0.583252889,,
1782,0.00452537,,0.3489732,0.082155,-0.378290917,,
1783,0.004656864,,0.3795588,0.08952,0.737490041,,
1784,0.004768311,,0.406746,0.10207,0.654705346,,
1785,0.004903146,,0.4303224,0.104205,-0.122695998,,
1786,0.005034797,,0.450288,0.11673,0.563156288,,
1787,0.005147142,,0.4666428,0.12393,0.524885627,,
1788,0.005263709,,0.4795992,0.131105,0.607727314,,
1789,0.00542124,,0.4889448,0.13301,0.137268837,,
1790,0.005567165,,0.4944672,0.14019,0.547798363,,
1791,0.005712814,,0.4968036,0.147095,-0.071528957,,
1792,0.005985048,,0.4953168,0.14901,0.036943633,,
1793,0.006085497,,0.4902192,0.15568,0.112543148,,
1794,0.006146194,,0.4817232,0.15749,0.388574686,,
1795,0.006090406,,0.4698288,0.163805,0.307312614,,
1796,0.006037493,,0.455598,0.164995,0.769306138,,
1797,0.006028951,,0.4400928,0.1658,1.056908393,,
1798,0.006306203,,0.4228884,0.16673,0.482459229,,
1799,0.007501421,,0.4027104,0.167235,-0.035725666,,
1800,0.008951515,,0.381258,0.17277,0.521160622,,
1801,0.008729817,,0.3623544,0.173235,-0.18002281,,
1802,0.011001767,,0.343026,0.173365,-0.207409054,,
1803,0.008061819,,0.3224232,0.17367,0.899272007,,
1804,0.008670627,,0.3009708,0.17359,0.781374565,,
1805,0.008529426,,0.2778192,0.17356,0.085135497,,
1806,0.008925934,,0.253818,0.173505,0.587999551,,
1807,0.009880091,,0.2287548,0.173135,0.720489195,,
1808,0.009688261,,0.2022048,0.17295,0.806915529,,
1809,0.009916434,,0.1748052,0.17259,0.341896918,,
1810,0.010778469,,0.1459188,0.17252,0.570182039,,
1811,0.010965251,,0.1159704,0.16692,-0.027572369,,
1812,0.011139335,,0.08496,0.16627,0.093460586,,
1813,0.011246217,,0.0526752,0.165735,0.130116315,,
1814,0.01152474,,0.0193284,0.16021,0.412190418,,
1815,0.011896088,,-0.0146556,0.15963,0.26643359,,
1816,0.012417188,,-0.0443916,0.15875,0.672768778,,
1817,0.013448669,,-0.0677556,0.15806,1.024418471,,
1818,0.014026204,,-0.08496,0.15751,0.193716641,,
1819,0.013900155,,-0.0957924,0.15205,-0.099521693,,
1820,0.013846363,,-0.1000404,0.15117,0.374131638,,
1821,0.014208338,,-0.0983412,0.15066,-0.385636174,,
1822,0.014743917,,-0.0898452,0.149595,-0.493869763,,
1823,0.015381486,,-0.0756144,0.144045,0.784456603,,
1824,0.015716058,,-0.0545868,0.14338,0.537632515,,
1825,0.016575018,,-0.0271872,0.14237,0.105323038,,
1826,0.016752765,,0.0061596,0.14153,0.40755945,,
1827,0.017941749,,0.0431172,0.1408,0.532438992,,
1828,0.018199178,,0.0683928,0.140145,0.643001633,,
1829,0.018097,,0.0883584,0.13505,0.083925847,,
1830,0.024287188,,0.1066248,0.13455,0.358431535,,
1831,0.022721238,,0.1225548,0.134,-0.168880458,,
1832,0.022404901,,0.1367856,0.13352,0.061138851,,
1833,0.022720716,,0.1488924,0.13358,0.070999754,,
1834,0.02422574,,0.1609992,0.1337,0.359852834,,
1835,0.026582859,,0.1796904,0.133975,0.212091248,,
1836,0.029174262,,0.2056032,0.13412,0.61834149,,
1837,0.028984558,,0.2374632,0.134745,0.854536444,,
1838,0.028887899,,0.2746332,0.13561,0.236119892,,
1839,0.029927138,,0.3166884,0.136535,-0.243767977,,
1840,0.032425904,,0.3619296,0.132865,0.432685409,,
1841,0.033342125,,0.409932,0.13897,-0.485134332,,
1842,0.035313534,,0.4553856,0.140425,-0.238795869,,
1843,0.036127017,,0.4804488,0.14147,0.765224677,,
1844,0.038739704,,0.4802364,0.14274,0.853938142,,
1845,0.042313689,,0.4570848,0.14418,0.023570711,,
1846,0.043028419,,0.4222512,0.150135,0.461381388,,
1847,0.046599592,,0.3778596,0.15123,0.604018832,,
1848,0.047374423,,0.3234852,0.1572,0.801735245,,
1849,0.050472707,,0.2597652,0.15831,0.298835387,,
1850,0.053698681,0.72141,0.1892484,0.164195,0.458675687,,-0.037010406
1851,0.054221643,0.74588,0.1255284,0.165485,0.015269005,,0.493819238
1852,0.056608683,0.758793333,0.0696672,0.171645,0.127951804,,0.446138013
1853,0.059257762,0.774983333,0.0097704,0.172905,0.17704103,,0.474524665
1854,0.069605123,0.78471,-0.0390816,0.17432,0.452845826,,0.266230897
1855,0.070989191,0.787466667,-0.0635076,0.18083,0.172527295,,0.568606162
1856,0.075681344,0.79182,-0.0632952,0.18227,0.621389077,,0.127137467
1857,0.076400659,0.802533333,-0.0528876,0.18896,1.048241059,,-0.305379466
1858,0.077572368,0.8079,-0.0363204,0.19561,0.281554919,,0.444627848
1859,0.082282005,0.821333333,-0.013806,0.1976,-0.184797392,,0.90461873
1860,0.090328215,0.77922,0.014868,0.19967,0.367418122,,0.287592093
1861,0.094919709,0.75109,0.050976,0.206965,-0.462547289,,1.050615998
1862,0.096749155,0.74433,0.0947304,0.219015,-0.362563063,,0.889896818
1863,0.103215105,0.740703333,0.146556,0.22639,0.776360252,,-0.305387814
1864,0.111278923,0.73348,0.20709,0.228825,0.64356807,,-0.234724147
1865,0.118138409,0.720583333,0.2742084,0.236465,0.001067713,,0.326980629
1866,0.121875979,0.725536667,0.3349548,0.244015,0.511556663,,-0.243113817
1867,0.130502388,0.728933333,0.3859308,0.25209,0.639050581,,-0.41763566
1868,0.134157193,0.721026667,0.4275612,0.259695,0.734867749,,-0.566940089
1869,0.14245475,0.7168,0.4592088,0.26803,0.282096671,,-0.150080721
1870,0.145561749,0.77875,0.4817232,0.271125,0.576282947,,-0.404819398
1871,0.154719261,0.806343333,0.4957416,0.27913,-0.044013425,,0.23020442
1872,0.171206673,0.819853333,0.4974408,0.287825,0.225305839,,-0.019511632
1873,0.181899897,0.838233333,0.4866084,0.295945,0.222742706,,0.014837124
1874,0.170369139,0.854086667,0.463032,0.30465,0.525399277,,-0.268625471
1875,0.184801808,0.860353333,0.4313844,0.313115,0.403345072,,-0.102689331
1876,0.187440018,0.868613333,0.4105692,0.3218,0.798478081,,-0.474793929
1877,0.191158406,0.88457,0.4048344,0.33546,1.095020941,,-0.759586934
1878,0.192678373,0.900653333,0.4143924,0.34427,0.608450602,,-0.273781295
